"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	1402	354644	395.3	10.6
	"Female"	"F"	"1 year"	"1"	94	353574	26.6	2.7
	"Female"	"F"	"2 years"	"2"	63	349007	18.1	2.3
	"Female"	"F"	"3 years"	"3"	48	348505	13.8	2.0
	"Female"	"F"	"4 years"	"4"	48	347103	13.8	2.0
	"Female"	"F"	"5 years"	"5"	46	346591	13.3	2.0
	"Female"	"F"	"6 years"	"6"	44	342513	12.8	1.9
	"Female"	"F"	"7 years"	"7"	15	339881	Unreliable	1.1
	"Female"	"F"	"8 years"	"8"	22	337820	6.5	1.4
	"Female"	"F"	"9 years"	"9"	34	335103	10.1	1.7
	"Female"	"F"	"10 years"	"10"	35	340718	10.3	1.7
	"Female"	"F"	"11 years"	"11"	34	343483	9.9	1.7
	"Female"	"F"	"12 years"	"12"	35	348712	10.0	1.7
	"Female"	"F"	"13 years"	"13"	30	353274	8.5	1.6
	"Female"	"F"	"14 years"	"14"	42	356733	11.8	1.8
	"Female"	"F"	"15 years"	"15"	44	360377	12.2	1.8
	"Female"	"F"	"16 years"	"16"	57	366036	15.6	2.1
	"Female"	"F"	"17 years"	"17"	61	369237	16.5	2.1
	"Female"	"F"	"18 years"	"18"	74	366084	20.2	2.3
	"Female"	"F"	"19 years"	"19"	71	358060	19.8	2.4
	"Female"	"F"	"20 years"	"20"	79	352715	22.4	2.5
	"Female"	"F"	"21 years"	"21"	99	347477	28.5	2.9
	"Female"	"F"	"22 years"	"22"	87	338390	25.7	2.8
	"Female"	"F"	"23 years"	"23"	108	328891	32.8	3.2
	"Female"	"F"	"24 years"	"24"	93	320332	29.0	3.0
	"Female"	"F"	"25 years"	"25"	99	315853	31.3	3.2
	"Female"	"F"	"26 years"	"26"	96	311569	30.8	3.1
	"Female"	"F"	"27 years"	"27"	80	312086	25.6	2.9
	"Female"	"F"	"28 years"	"28"	100	309772	32.3	3.2
