"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",291,58812,494.8
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",25,57857,43.2
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",11,56380,Unreliable
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55670,Suppressed
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55615,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55658,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54825,Suppressed
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54330,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54049,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",Suppressed,53539,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54463,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",Suppressed,54339,Suppressed
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",Suppressed,55221,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",Suppressed,56146,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",17,56905,Unreliable
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",15,58422,Unreliable
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",23,59375,38.7
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",30,60763,49.4
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",41,68534,59.8
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",46,82966,55.4
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",65,92510,70.3
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",72,98361,73.2
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",93,102859,90.4
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",91,99021,91.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",85,95889,88.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",77,94643,81.4
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",76,91033,83.5
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",69,89248,77.3
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",87,87486,99.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",84,84938,98.9
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",67,84524,79.3
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",92,80715,114.0
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",84,78405,107.1
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",80,75302,106.2
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",86,72742,118.2
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",82,71304,115.0
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",83,69654,119.2
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",93,69979,132.9
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",94,70259,133.8
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",116,72448,160.1
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",110,73228,150.2
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",122,72731,167.7
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",139,72388,192.0
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",153,71310,214.6
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",158,71439,221.2
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",191,72991,261.7
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",202,75296,268.3
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",231,77853,296.7
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",280,80070,349.7
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",347,82015,423.1
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",340,82367,412.8
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",335,81981,408.6
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",458,81898,559.2
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",417,80390,518.7
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",484,79583,608.2
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",546,77638,703.3
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",545,75329,723.5
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",535,73050,732.4
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",586,70506,831.1
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",571,68717,830.9
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",673,66360,1014.2
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",683,64046,1066.4
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",687,63712,1078.3
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",681,58842,1157.3
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",677,55627,1217.0
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",647,52171,1240.2
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",712,49189,1447.5
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",694,43170,1607.6
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",632,40398,1564.4
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",655,38131,1717.8
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",677,35231,1921.6
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",688,32527,2115.2
