"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",42130,7178585,586.9
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",2927,7243678,40.4
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",1745,7325398,23.8
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",1343,7377046,18.2
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",1098,7440092,14.8
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",949,7529114,12.6
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",874,7537420,11.6
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",746,7548544,9.9
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",794,7613669,10.4
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",789,7633999,10.3
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",782,7749049,10.1
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",829,7779964,10.7
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",890,7859962,11.3
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",1027,7908971,13.0
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",1231,7933553,15.5
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",1535,8029046,19.1
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",2078,8164921,25.5
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",2485,8308602,29.9
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",3016,8529352,35.4
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",3405,8755524,38.9
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",3632,8797385,41.3
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",3974,8830844,45.0
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",4090,8754406,46.7
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",4401,8639374,50.9
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",4569,8537884,53.5
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",4605,8479480,54.3
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",4977,8453445,58.9
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",5058,8514117,59.4
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",5550,8518474,65.2
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",5869,8468951,69.3
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",6230,8464657,73.6
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",6264,8291369,75.5
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",6696,8220980,81.5
