"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	907	106066	855.1	28.4
	"Female"	"F"	"1 year"	"1"	51	107517	47.4	6.6
	"Female"	"F"	"2 years"	"2"	40	106838	37.4	5.9
	"Female"	"F"	"3 years"	"3"	24	107712	22.3	4.5
	"Female"	"F"	"4 years"	"4"	18	106370	Unreliable	4.0
	"Female"	"F"	"5 years"	"5"	14	106328	Unreliable	3.5
	"Female"	"F"	"6 years"	"6"	18	105971	Unreliable	4.0
	"Female"	"F"	"7 years"	"7"	13	104928	Unreliable	3.4
	"Female"	"F"	"8 years"	"8"	11	104451	Unreliable	3.2
	"Female"	"F"	"9 years"	"9"	Suppressed	105393	Suppressed	Suppressed
	"Female"	"F"	"10 years"	"10"	14	106370	Unreliable	3.5
	"Female"	"F"	"11 years"	"11"	17	108315	Unreliable	3.8
	"Female"	"F"	"12 years"	"12"	12	110622	Unreliable	3.1
	"Female"	"F"	"13 years"	"13"	11	112039	Unreliable	3.0
	"Female"	"F"	"14 years"	"14"	27	114553	23.6	4.5
	"Female"	"F"	"15 years"	"15"	31	116975	26.5	4.8
	"Female"	"F"	"16 years"	"16"	23	120563	19.1	4.0
	"Female"	"F"	"17 years"	"17"	31	122704	25.3	4.5
	"Female"	"F"	"18 years"	"18"	56	122764	45.6	6.1
	"Female"	"F"	"19 years"	"19"	73	121343	60.2	7.0
	"Female"	"F"	"20 years"	"20"	54	126103	42.8	5.8
	"Female"	"F"	"21 years"	"21"	76	127802	59.5	6.8
	"Female"	"F"	"22 years"	"22"	71	128663	55.2	6.5
	"Female"	"F"	"23 years"	"23"	85	126956	67.0	7.3
	"Female"	"F"	"24 years"	"24"	79	122239	64.6	7.3
	"Female"	"F"	"25 years"	"25"	80	117539	68.1	7.6
	"Female"	"F"	"26 years"	"26"	76	112205	67.7	7.8
	"Female"	"F"	"27 years"	"27"	79	109629	72.1	8.1
	"Female"	"F"	"28 years"	"28"	82	107625	76.2	8.4
	"Female"	"F"	"29 years"	"29"	101	106712	94.6	9.4
	"Female"	"F"	"30 years"	"30"	102	105597	96.6	9.6
	"Female"	"F"	"31 years"	"31"	101	104024	97.1	9.7
	"Female"	"F"	"32 years"	"32"	123	103113	119.3	10.8
	"Female"	"F"	"33 years"	"33"	119	100507	118.4	10.9
	"Female"	"F"	"34 years"	"34"	114	98445	115.8	10.8
	"Female"	"F"	"35 years"	"35"	132	96621	136.6	11.9
	"Female"	"F"	"36 years"	"36"	144	94198	152.9	12.7
	"Female"	"F"	"37 years"	"37"	133	93171	142.7	12.4
	"Female"	"F"	"38 years"	"38"	164	93122	176.1	13.8
	"Female"	"F"	"39 years"	"39"	166	95885	173.1	13.4
	"Female"	"F"	"40 years"	"40"	188	98945	190.0	13.9
	"Female"	"F"	"41 years"	"41"	218	100176	217.6	14.7
	"Female"	"F"	"42 years"	"42"	257	100957	254.6	15.9
	"Female"	"F"	"43 years"	"43"	241	101919	236.5	15.2
	"Female"	"F"	"44 years"	"44"	310	101875	304.3	17.3
	"Female"	"F"	"45 years"	"45"	303	103303	293.3	16.9
	"Female"	"F"	"46 years"	"46"	340	104384	325.7	17.7
	"Female"	"F"	"47 years"	"47"	349	106580	327.5	17.5
	"Female"	"F"	"48 years"	"48"	465	108181	429.8	19.9
	"Female"	"F"	"49 years"	"49"	511	110436	462.7	20.5
	"Female"	"F"	"50 years"	"50"	543	111270	488.0	20.9
	"Female"	"F"	"51 years"	"51"	612	110287	554.9	22.4
	"Female"	"F"	"52 years"	"52"	596	109241	545.6	22.3
	"Female"	"F"	"53 years"	"53"	687	106927	642.5	24.5
	"Female"	"F"	"54 years"	"54"	730	104808	696.5	25.8
	"Female"	"F"	"55 years"	"55"	786	101074	777.6	27.7
	"Female"	"F"	"56 years"	"56"	756	96464	783.7	28.5
	"Female"	"F"	"57 years"	"57"	816	93392	873.7	30.6
