"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	1305	345818	377.4	10.4
	"Female"	"F"	"1 year"	"1"	104	344052	30.2	3.0
	"Female"	"F"	"2 years"	"2"	49	345416	14.2	2.0
	"Female"	"F"	"3 years"	"3"	42	347597	12.1	1.9
	"Female"	"F"	"4 years"	"4"	35	347152	10.1	1.7
	"Female"	"F"	"5 years"	"5"	39	349818	11.1	1.8
	"Female"	"F"	"6 years"	"6"	29	353630	8.2	1.5
	"Female"	"F"	"7 years"	"7"	27	355757	7.6	1.5
	"Female"	"F"	"8 years"	"8"	32	356359	9.0	1.6
	"Female"	"F"	"9 years"	"9"	26	358357	7.3	1.4
	"Female"	"F"	"10 years"	"10"	15	360857	Unreliable	1.1
	"Female"	"F"	"11 years"	"11"	28	364662	7.7	1.5
	"Female"	"F"	"12 years"	"12"	35	368868	9.5	1.6
	"Female"	"F"	"13 years"	"13"	46	375566	12.2	1.8
	"Female"	"F"	"14 years"	"14"	50	382289	13.1	1.8
	"Female"	"F"	"15 years"	"15"	67	391018	17.1	2.1
	"Female"	"F"	"16 years"	"16"	65	400249	16.2	2.0
	"Female"	"F"	"17 years"	"17"	86	409804	21.0	2.3
	"Female"	"F"	"18 years"	"18"	108	420622	25.7	2.5
	"Female"	"F"	"19 years"	"19"	143	407829	35.1	2.9
	"Female"	"F"	"20 years"	"20"	152	431225	35.2	2.9
	"Female"	"F"	"21 years"	"21"	182	450380	40.4	3.0
	"Female"	"F"	"22 years"	"22"	178	470592	37.8	2.8
	"Female"	"F"	"23 years"	"23"	161	492954	32.7	2.6
	"Female"	"F"	"24 years"	"24"	210	493847	42.5	2.9
	"Female"	"F"	"25 years"	"25"	211	492325	42.9	3.0
	"Female"	"F"	"26 years"	"26"	230	487372	47.2	3.1
	"Female"	"F"	"27 years"	"27"	234	485722	48.2	3.1
	"Female"	"F"	"28 years"	"28"	235	485428	48.4	3.2
	"Female"	"F"	"29 years"	"29"	231	484684	47.7	3.1
	"Female"	"F"	"30 years"	"30"	244	481299	50.7	3.2
	"Female"	"F"	"31 years"	"31"	276	471766	58.5	3.5
	"Female"	"F"	"32 years"	"32"	287	464192	61.8	3.6
	"Female"	"F"	"33 years"	"33"	297	449907	66.0	3.8
	"Female"	"F"	"34 years"	"34"	296	439620	67.3	3.9
	"Female"	"F"	"35 years"	"35"	334	429313	77.8	4.3
	"Female"	"F"	"36 years"	"36"	364	420813	86.5	4.5
	"Female"	"F"	"37 years"	"37"	375	419395	89.4	4.6
	"Female"	"F"	"38 years"	"38"	431	423552	101.8	4.9
	"Female"	"F"	"39 years"	"39"	467	442558	105.5	4.9
	"Female"	"F"	"40 years"	"40"	571	462246	123.5	5.2
	"Female"	"F"	"41 years"	"41"	587	481056	122.0	5.0
	"Female"	"F"	"42 years"	"42"	660	496476	132.9	5.2
	"Female"	"F"	"43 years"	"43"	775	506810	152.9	5.5
	"Female"	"F"	"44 years"	"44"	863	510187	169.2	5.8
	"Female"	"F"	"45 years"	"45"	927	519109	178.6	5.9
	"Female"	"F"	"46 years"	"46"	1122	533848	210.2	6.3
	"Female"	"F"	"47 years"	"47"	1241	556865	222.9	6.3
	"Female"	"F"	"48 years"	"48"	1358	580078	234.1	6.4
	"Female"	"F"	"49 years"	"49"	1641	605409	271.1	6.7
	"Female"	"F"	"50 years"	"50"	1809	623428	290.2	6.8
	"Female"	"F"	"51 years"	"51"	2076	628890	330.1	7.2
	"Female"	"F"	"52 years"	"52"	2258	637014	354.5	7.5
	"Female"	"F"	"53 years"	"53"	2320	639359	362.9	7.5
	"Female"	"F"	"54 years"	"54"	2548	639205	398.6	7.9
	"Female"	"F"	"55 years"	"55"	2780	635030	437.8	8.3
	"Female"	"F"	"56 years"	"56"	2902	630366	460.4	8.5
	"Female"	"F"	"57 years"	"57"	3081	623950	493.8	8.9
	"Female"	"F"	"58 years"	"58"	3126	610781	511.8	9.2
	"Female"	"F"	"59 years"	"59"	3338	597952	558.2	9.7
	"Female"	"F"	"60 years"	"60"	3622	586421	617.6	10.3
	"Female"	"F"	"61 years"	"61"	3797	571101	664.9	10.8
	"Female"	"F"	"62 years"	"62"	3954	565005	699.8	11.1
	"Female"	"F"	"63 years"	"63"	4416	558933	790.1	11.9
	"Female"	"F"	"64 years"	"64"	4462	537042	830.8	12.4
	"Female"	"F"	"65 years"	"65"	4681	513835	911.0	13.3
	"Female"	"F"	"66 years"	"66"	4706	487153	966.0	14.1
	"Female"	"F"	"67 years"	"67"	4897	460926	1062.4	15.2
	"Female"	"F"	"68 years"	"68"	4947	416805	1186.9	16.9
	"Female"	"F"	"69 years"	"69"	5126	399083	1284.4	17.9
	"Female"	"F"	"70 years"	"70"	5473	377906	1448.2	19.6
	"Female"	"F"	"71 years"	"71"	5571	357198	1559.6	20.9
	"Female"	"F"	"72 years"	"72"	5612	330209	1699.5	22.7
	"Female"	"F"	"73 years"	"73"	5922	312141	1897.2	24.7
	"Female"	"F"	"74 years"	"74"	6300	298297	2112.0	26.6
	"Female"	"F"	"75 years"	"75"	6746	285783	2360.5	28.7
	"Female"	"F"	"76 years"	"76"	7237	272672	2654.1	31.2
	"Female"	"F"	"77 years"	"77"	7674	261050	2939.7	33.6
	"Female"	"F"	"78 years"	"78"	8075	251173	3214.9	35.8
	"Female"	"F"	"79 years"	"79"	8849	244425	3620.3	38.5
	"Female"	"F"	"80 years"	"80"	9546	236710	4032.8	41.3
	"Female"	"F"	"81 years"	"81"	10290	230738	4459.6	44.0
	"Female"	"F"	"82 years"	"82"	11159	224582	4968.8	47.0
	"Female"	"F"	"83 years"	"83"	12207	217059	5623.8	50.9
	"Female"	"F"	"84 years"	"84"	13395	209373	6397.7	55.3
	"Male"	"M"	"< 1 year"	"0"	1651	361908	456.2	11.2
	"Male"	"M"	"1 year"	"1"	136	360742	37.7	3.2
	"Male"	"M"	"2 years"	"2"	86	362626	23.7	2.6
	"Male"	"M"	"3 years"	"3"	50	365101	13.7	1.9
	"Male"	"M"	"4 years"	"4"	45	365417	12.3	1.8
	"Male"	"M"	"5 years"	"5"	36	368672	9.8	1.6
	"Male"	"M"	"6 years"	"6"	39	373326	10.4	1.7
	"Male"	"M"	"7 years"	"7"	29	374460	7.7	1.4
	"Male"	"M"	"8 years"	"8"	31	375168	8.3	1.5
	"Male"	"M"	"9 years"	"9"	31	377454	8.2	1.5
	"Male"	"M"	"10 years"	"10"	37	380704	9.7	1.6
	"Male"	"M"	"11 years"	"11"	34	383436	8.9	1.5
	"Male"	"M"	"12 years"	"12"	48	387636	12.4	1.8
	"Male"	"M"	"13 years"	"13"	53	395307	13.4	1.8
	"Male"	"M"	"14 years"	"14"	71	404163	17.6	2.1
	"Male"	"M"	"15 years"	"15"	93	412726	22.5	2.3
	"Male"	"M"	"16 years"	"16"	135	423584	31.9	2.7
	"Male"	"M"	"17 years"	"17"	194	435990	44.5	3.2
	"Male"	"M"	"18 years"	"18"	297	451398	65.8	3.8
	"Male"	"M"	"19 years"	"19"	378	451213	83.8	4.3
	"Male"	"M"	"20 years"	"20"	427	479010	89.1	4.3
	"Male"	"M"	"21 years"	"21"	514	494322	104.0	4.6
	"Male"	"M"	"22 years"	"22"	523	511915	102.2	4.5
	"Male"	"M"	"23 years"	"23"	561	526976	106.5	4.5
	"Male"	"M"	"24 years"	"24"	561	529445	106.0	4.5
	"Male"	"M"	"25 years"	"25"	619	528225	117.2	4.7
	"Male"	"M"	"26 years"	"26"	552	524161	105.3	4.5
	"Male"	"M"	"27 years"	"27"	570	523132	109.0	4.6
	"Male"	"M"	"28 years"	"28"	577	520940	110.8	4.6
	"Male"	"M"	"29 years"	"29"	661	518679	127.4	5.0
	"Male"	"M"	"30 years"	"30"	620	516441	120.1	4.8
	"Male"	"M"	"31 years"	"31"	608	506977	119.9	4.9
	"Male"	"M"	"32 years"	"32"	642	497324	129.1	5.1
	"Male"	"M"	"33 years"	"33"	632	482188	131.1	5.2
	"Male"	"M"	"34 years"	"34"	641	469518	136.5	5.4
	"Male"	"M"	"35 years"	"35"	685	458685	149.3	5.7
	"Male"	"M"	"36 years"	"36"	612	448373	136.5	5.5
	"Male"	"M"	"37 years"	"37"	678	447207	151.6	5.8
	"Male"	"M"	"38 years"	"38"	744	450925	165.0	6.0
	"Male"	"M"	"39 years"	"39"	805	468981	171.6	6.0
	"Male"	"M"	"40 years"	"40"	879	490338	179.3	6.0
	"Male"	"M"	"41 years"	"41"	1064	504557	210.9	6.5
	"Male"	"M"	"42 years"	"42"	1173	519229	225.9	6.6
	"Male"	"M"	"43 years"	"43"	1295	527874	245.3	6.8
	"Male"	"M"	"44 years"	"44"	1380	530799	260.0	7.0
	"Male"	"M"	"45 years"	"45"	1531	538379	284.4	7.3
	"Male"	"M"	"46 years"	"46"	1768	552081	320.2	7.6
