"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	4930	1229026	401.1	5.7
	"Female"	"F"	"1 year"	"1"	313	1232835	25.4	1.4
	"Female"	"F"	"2 years"	"2"	220	1221381	18.0	1.2
	"Female"	"F"	"3 years"	"3"	174	1226257	14.2	1.1
	"Female"	"F"	"4 years"	"4"	151	1233666	12.2	1.0
	"Female"	"F"	"5 years"	"5"	110	1242086	8.9	0.8
	"Female"	"F"	"6 years"	"6"	123	1243129	9.9	0.9
	"Female"	"F"	"7 years"	"7"	101	1247897	8.1	0.8
	"Female"	"F"	"8 years"	"8"	87	1251179	7.0	0.7
	"Female"	"F"	"9 years"	"9"	93	1245394	7.5	0.8
	"Female"	"F"	"10 years"	"10"	95	1233893	7.7	0.8
	"Female"	"F"	"11 years"	"11"	102	1233891	8.3	0.8
	"Female"	"F"	"12 years"	"12"	112	1236966	9.1	0.9
	"Female"	"F"	"13 years"	"13"	137	1238862	11.1	0.9
	"Female"	"F"	"14 years"	"14"	150	1246006	12.0	1.0
	"Female"	"F"	"15 years"	"15"	175	1262037	13.9	1.0
	"Female"	"F"	"16 years"	"16"	217	1275169	17.0	1.2
	"Female"	"F"	"17 years"	"17"	261	1291532	20.2	1.3
	"Female"	"F"	"18 years"	"18"	306	1314727	23.3	1.3
	"Female"	"F"	"19 years"	"19"	414	1277822	32.4	1.6
	"Female"	"F"	"20 years"	"20"	385	1308926	29.4	1.5
	"Female"	"F"	"21 years"	"21"	456	1355920	33.6	1.6
	"Female"	"F"	"22 years"	"22"	461	1404718	32.8	1.5
	"Female"	"F"	"23 years"	"23"	495	1447204	34.2	1.5
	"Female"	"F"	"24 years"	"24"	494	1461223	33.8	1.5
	"Female"	"F"	"25 years"	"25"	573	1457478	39.3	1.6
	"Female"	"F"	"26 years"	"26"	555	1433558	38.7	1.6
	"Female"	"F"	"27 years"	"27"	575	1410407	40.8	1.7
	"Female"	"F"	"28 years"	"28"	576	1386932	41.5	1.7
	"Female"	"F"	"29 years"	"29"	572	1379102	41.5	1.7
	"Female"	"F"	"30 years"	"30"	649	1380834	47.0	1.8
	"Female"	"F"	"31 years"	"31"	677	1376781	49.2	1.9
	"Female"	"F"	"32 years"	"32"	762	1372084	55.5	2.0
	"Female"	"F"	"33 years"	"33"	772	1355073	57.0	2.1
	"Female"	"F"	"34 years"	"34"	792	1333931	59.4	2.1
	"Female"	"F"	"35 years"	"35"	843	1311037	64.3	2.2
	"Female"	"F"	"36 years"	"36"	899	1288153	69.8	2.3
	"Female"	"F"	"37 years"	"37"	936	1269538	73.7	2.4
	"Female"	"F"	"38 years"	"38"	1053	1259527	83.6	2.6
	"Female"	"F"	"39 years"	"39"	1077	1258328	85.6	2.6
	"Female"	"F"	"40 years"	"40"	1246	1260991	98.8	2.8
	"Female"	"F"	"41 years"	"41"	1295	1282565	101.0	2.8
	"Female"	"F"	"42 years"	"42"	1343	1303003	103.1	2.8
	"Female"	"F"	"43 years"	"43"	1648	1314968	125.3	3.1
	"Female"	"F"	"44 years"	"44"	1817	1317310	137.9	3.2
	"Female"	"F"	"45 years"	"45"	2049	1312648	156.1	3.4
	"Female"	"F"	"46 years"	"46"	2150	1295220	166.0	3.6
