"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	647	100017	646.9	25.4
	"Female"	"F"	"1 year"	"1"	79	98862	79.9	9.0
	"Female"	"F"	"2 years"	"2"	44	98852	44.5	6.7
	"Female"	"F"	"3 years"	"3"	27	99651	27.1	5.2
	"Female"	"F"	"4 years"	"4"	18	100759	Unreliable	4.2
	"Female"	"F"	"5 years"	"5"	20	101775	19.7	4.4
	"Female"	"F"	"6 years"	"6"	16	102472	Unreliable	3.9
	"Female"	"F"	"7 years"	"7"	14	102609	Unreliable	3.6
	"Female"	"F"	"8 years"	"8"	17	102838	Unreliable	4.0
	"Female"	"F"	"9 years"	"9"	15	102010	Unreliable	3.8
	"Female"	"F"	"10 years"	"10"	12	101313	Unreliable	3.4
	"Female"	"F"	"11 years"	"11"	14	101438	Unreliable	3.7
	"Female"	"F"	"12 years"	"12"	20	101920	19.6	4.4
	"Female"	"F"	"13 years"	"13"	30	102311	29.3	5.4
	"Female"	"F"	"14 years"	"14"	33	103441	31.9	5.6
	"Female"	"F"	"15 years"	"15"	39	104126	37.5	6.0
	"Female"	"F"	"16 years"	"16"	39	104283	37.4	6.0
	"Female"	"F"	"17 years"	"17"	46	104370	44.1	6.5
	"Female"	"F"	"18 years"	"18"	76	105289	72.2	8.3
	"Female"	"F"	"19 years"	"19"	82	106825	76.8	8.5
	"Female"	"F"	"20 years"	"20"	74	109526	67.6	7.9
	"Female"	"F"	"21 years"	"21"	112	111913	100.1	9.5
	"Female"	"F"	"22 years"	"22"	99	113214	87.4	8.8
	"Female"	"F"	"23 years"	"23"	135	112483	120.0	10.3
	"Female"	"F"	"24 years"	"24"	128	109996	116.4	10.3
	"Female"	"F"	"25 years"	"25"	126	106159	118.7	10.6
	"Female"	"F"	"26 years"	"26"	140	102473	136.6	11.5
	"Female"	"F"	"27 years"	"27"	158	99110	159.4	12.7
	"Female"	"F"	"28 years"	"28"	165	96687	170.7	13.3
	"Female"	"F"	"29 years"	"29"	136	95293	142.7	12.2
	"Female"	"F"	"30 years"	"30"	175	94017	186.1	14.1
	"Female"	"F"	"31 years"	"31"	160	92973	172.1	13.6
	"Female"	"F"	"32 years"	"32"	184	92218	199.5	14.7
	"Female"	"F"	"33 years"	"33"	156	90363	172.6	13.8
	"Female"	"F"	"34 years"	"34"	179	88225	202.9	15.2
	"Female"	"F"	"35 years"	"35"	181	86855	208.4	15.5
	"Female"	"F"	"36 years"	"36"	192	84332	227.7	16.4
	"Female"	"F"	"37 years"	"37"	206	82338	250.2	17.4
	"Female"	"F"	"38 years"	"38"	225	81379	276.5	18.4
	"Female"	"F"	"39 years"	"39"	241	80905	297.9	19.2
	"Female"	"F"	"40 years"	"40"	231	80556	286.8	18.9
	"Female"	"F"	"41 years"	"41"	230	82028	280.4	18.5
	"Female"	"F"	"42 years"	"42"	276	83276	331.4	19.9
	"Female"	"F"	"43 years"	"43"	310	84014	369.0	21.0
	"Female"	"F"	"44 years"	"44"	275	84334	326.1	19.7
	"Female"	"F"	"45 years"	"45"	329	84591	388.9	21.4
	"Female"	"F"	"46 years"	"46"	340	84509	402.3	21.8
	"Female"	"F"	"47 years"	"47"	380	85786	443.0	22.7
	"Female"	"F"	"48 years"	"48"	424	87920	482.3	23.4
	"Female"	"F"	"49 years"	"49"	456	90226	505.4	23.7
	"Female"	"F"	"50 years"	"50"	475	92228	515.0	23.6
	"Female"	"F"	"51 years"	"51"	483	94283	512.3	23.3
	"Female"	"F"	"52 years"	"52"	576	94893	607.0	25.3
	"Female"	"F"	"53 years"	"53"	558	94582	590.0	25.0
	"Female"	"F"	"54 years"	"54"	559	93895	595.3	25.2
	"Female"	"F"	"55 years"	"55"	579	92718	624.5	26.0
	"Female"	"F"	"56 years"	"56"	599	90783	659.8	27.0
	"Female"	"F"	"57 years"	"57"	602	87886	685.0	27.9
	"Female"	"F"	"58 years"	"58"	620	85104	728.5	29.3
	"Female"	"F"	"59 years"	"59"	623	81810	761.5	30.5
	"Female"	"F"	"60 years"	"60"	661	77930	848.2	33.0
	"Female"	"F"	"61 years"	"61"	610	73842	826.1	33.4
	"Female"	"F"	"62 years"	"62"	697	70310	991.3	37.5
	"Female"	"F"	"63 years"	"63"	664	66864	993.1	38.5
	"Female"	"F"	"64 years"	"64"	670	63749	1051.0	40.6
	"Female"	"F"	"65 years"	"65"	654	61395	1065.2	41.7
