"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	627	180936	346.5	13.8
	"Female"	"F"	"1 year"	"1"	29	186486	15.6	2.9
	"Female"	"F"	"2 years"	"2"	22	192037	11.5	2.4
	"Female"	"F"	"3 years"	"3"	23	191144	12.0	2.5
	"Female"	"F"	"4 years"	"4"	13	188984	Unreliable	1.9
	"Female"	"F"	"5 years"	"5"	20	187156	10.7	2.4
	"Female"	"F"	"6 years"	"6"	20	187686	10.7	2.4
	"Female"	"F"	"7 years"	"7"	12	190184	Unreliable	1.8
	"Female"	"F"	"8 years"	"8"	15	193216	Unreliable	2.0
	"Female"	"F"	"9 years"	"9"	14	195880	Unreliable	1.9
	"Female"	"F"	"10 years"	"10"	17	197820	Unreliable	2.1
	"Female"	"F"	"11 years"	"11"	Suppressed	197722	Suppressed	Suppressed
	"Female"	"F"	"12 years"	"12"	12	197142	Unreliable	1.8
	"Female"	"F"	"13 years"	"13"	20	198462	10.1	2.3
	"Female"	"F"	"14 years"	"14"	18	197771	Unreliable	2.1
	"Female"	"F"	"15 years"	"15"	22	196044	11.2	2.4
	"Female"	"F"	"16 years"	"16"	19	196426	Unreliable	2.2
	"Female"	"F"	"17 years"	"17"	28	200695	14.0	2.6
	"Female"	"F"	"18 years"	"18"	50	210531	23.7	3.4
	"Female"	"F"	"19 years"	"19"	49	206012	23.8	3.4
	"Female"	"F"	"20 years"	"20"	53	206508	25.7	3.5
	"Female"	"F"	"21 years"	"21"	63	215850	29.2	3.7
	"Female"	"F"	"22 years"	"22"	47	228728	20.5	3.0
	"Female"	"F"	"23 years"	"23"	59	249753	23.6	3.1
	"Female"	"F"	"24 years"	"24"	42	268383	15.6	2.4
	"Female"	"F"	"25 years"	"25"	55	287056	19.2	2.6
	"Female"	"F"	"26 years"	"26"	63	300936	20.9	2.6
	"Female"	"F"	"27 years"	"27"	66	308643	21.4	2.6
	"Female"	"F"	"28 years"	"28"	64	309367	20.7	2.6
	"Female"	"F"	"29 years"	"29"	89	308547	28.8	3.1
	"Female"	"F"	"30 years"	"30"	80	306545	26.1	2.9
	"Female"	"F"	"31 years"	"31"	86	307769	27.9	3.0
	"Female"	"F"	"32 years"	"32"	103	311181	33.1	3.3
	"Female"	"F"	"33 years"	"33"	99	310946	31.8	3.2
	"Female"	"F"	"34 years"	"34"	112	310035	36.1	3.4
	"Female"	"F"	"35 years"	"35"	132	307029	43.0	3.7
	"Female"	"F"	"36 years"	"36"	138	300694	45.9	3.9
	"Female"	"F"	"37 years"	"37"	127	294968	43.1	3.8
	"Female"	"F"	"38 years"	"38"	161	291630	55.2	4.4
	"Female"	"F"	"39 years"	"39"	131	289702	45.2	4.0
	"Female"	"F"	"40 years"	"40"	171	291277	58.7	4.5
	"Female"	"F"	"41 years"	"41"	169	294713	57.3	4.4
	"Female"	"F"	"42 years"	"42"	194	297312	65.3	4.7
	"Female"	"F"	"43 years"	"43"	209	298709	70.0	4.8
	"Female"	"F"	"44 years"	"44"	247	299348	82.5	5.3
	"Female"	"F"	"45 years"	"45"	262	296162	88.5	5.5
	"Female"	"F"	"46 years"	"46"	262	289730	90.4	5.6
	"Female"	"F"	"47 years"	"47"	295	280090	105.3	6.1
	"Female"	"F"	"48 years"	"48"	329	272320	120.8	6.7
	"Female"	"F"	"49 years"	"49"	349	264995	131.7	7.0
	"Female"	"F"	"50 years"	"50"	374	262280	142.6	7.4
	"Female"	"F"	"51 years"	"51"	402	262259	153.3	7.6
	"Female"	"F"	"52 years"	"52"	411	261768	157.0	7.7
	"Female"	"F"	"53 years"	"53"	442	260245	169.8	8.1
	"Female"	"F"	"54 years"	"54"	490	259896	188.5	8.5
	"Female"	"F"	"55 years"	"55"	556	255793	217.4	9.2
	"Female"	"F"	"56 years"	"56"	574	251690	228.1	9.5
	"Female"	"F"	"57 years"	"57"	619	249367	248.2	10.0
	"Female"	"F"	"58 years"	"58"	615	247133	248.9	10.0
	"Female"	"F"	"59 years"	"59"	728	242443	300.3	11.1
	"Female"	"F"	"60 years"	"60"	750	238513	314.4	11.5
	"Female"	"F"	"61 years"	"61"	776	232729	333.4	12.0
	"Female"	"F"	"62 years"	"62"	836	225974	370.0	12.8
	"Female"	"F"	"63 years"	"63"	891	218087	408.6	13.7
	"Female"	"F"	"64 years"	"64"	931	211835	439.5	14.4
	"Female"	"F"	"65 years"	"65"	976	204920	476.3	15.2
	"Female"	"F"	"66 years"	"66"	987	197809	499.0	15.9
	"Female"	"F"	"67 years"	"67"	1043	189822	549.5	17.0
	"Female"	"F"	"68 years"	"68"	1127	178091	632.8	18.9
	"Female"	"F"	"69 years"	"69"	1132	163686	691.6	20.6
	"Female"	"F"	"70 years"	"70"	1134	150077	755.6	22.4
	"Female"	"F"	"71 years"	"71"	1038	137236	756.4	23.5
	"Female"	"F"	"72 years"	"72"	1136	126079	901.0	26.7
	"Female"	"F"	"73 years"	"73"	1170	118545	987.0	28.9
	"Female"	"F"	"74 years"	"74"	1265	111347	1136.1	31.9
	"Female"	"F"	"75 years"	"75"	1277	104593	1220.9	34.2
	"Female"	"F"	"76 years"	"76"	1415	99493	1422.2	37.8
	"Female"	"F"	"77 years"	"77"	1526	93974	1623.9	41.6
	"Female"	"F"	"78 years"	"78"	1566	88908	1761.4	44.5
	"Female"	"F"	"79 years"	"79"	1729	83538	2069.7	49.8
	"Female"	"F"	"80 years"	"80"	1862	78537	2370.9	54.9
	"Female"	"F"	"81 years"	"81"	2002	73974	2706.4	60.5
	"Female"	"F"	"82 years"	"82"	2098	68795	3049.6	66.6
