"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	34	3839	885.6	151.9
	"Female"	"F"	"1 year"	"1"	Suppressed	3949	Suppressed	Suppressed
	"Female"	"F"	"2 years"	"2"	0	4049	Unreliable	0.0
	"Female"	"F"	"3 years"	"3"	Suppressed	4089	Suppressed	Suppressed
	"Female"	"F"	"4 years"	"4"	Suppressed	4002	Suppressed	Suppressed
	"Female"	"F"	"5 years"	"5"	0	4014	Unreliable	0.0
	"Female"	"F"	"6 years"	"6"	Suppressed	3884	Suppressed	Suppressed
	"Female"	"F"	"7 years"	"7"	0	3801	Unreliable	0.0
	"Female"	"F"	"8 years"	"8"	Suppressed	3961	Suppressed	Suppressed
	"Female"	"F"	"9 years"	"9"	0	4147	Unreliable	0.0
	"Female"	"F"	"10 years"	"10"	Suppressed	4119	Suppressed	Suppressed
	"Female"	"F"	"11 years"	"11"	0	4197	Unreliable	0.0
	"Female"	"F"	"12 years"	"12"	0	4083	Unreliable	0.0
	"Female"	"F"	"13 years"	"13"	Suppressed	4236	Suppressed	Suppressed
	"Female"	"F"	"14 years"	"14"	0	4025	Unreliable	0.0
	"Female"	"F"	"15 years"	"15"	Suppressed	4047	Suppressed	Suppressed
	"Female"	"F"	"16 years"	"16"	0	3910	Unreliable	0.0
	"Female"	"F"	"17 years"	"17"	Suppressed	3971	Suppressed	Suppressed
	"Female"	"F"	"18 years"	"18"	Suppressed	4041	Suppressed	Suppressed
	"Female"	"F"	"19 years"	"19"	Suppressed	3982	Suppressed	Suppressed
	"Female"	"F"	"20 years"	"20"	Suppressed	4071	Suppressed	Suppressed
	"Female"	"F"	"21 years"	"21"	Suppressed	4035	Suppressed	Suppressed
	"Female"	"F"	"22 years"	"22"	0	4171	Unreliable	0.0
	"Female"	"F"	"23 years"	"23"	Suppressed	4427	Suppressed	Suppressed
	"Female"	"F"	"24 years"	"24"	0	4625	Unreliable	0.0
	"Female"	"F"	"25 years"	"25"	Suppressed	4641	Suppressed	Suppressed
	"Female"	"F"	"26 years"	"26"	Suppressed	4755	Suppressed	Suppressed
	"Female"	"F"	"27 years"	"27"	Suppressed	5117	Suppressed	Suppressed
	"Female"	"F"	"28 years"	"28"	0	5256	Unreliable	0.0
	"Female"	"F"	"29 years"	"29"	Suppressed	5052	Suppressed	Suppressed
	"Female"	"F"	"30 years"	"30"	Suppressed	5017	Suppressed	Suppressed
	"Female"	"F"	"31 years"	"31"	Suppressed	4859	Suppressed	Suppressed
	"Female"	"F"	"32 years"	"32"	Suppressed	5022	Suppressed	Suppressed
	"Female"	"F"	"33 years"	"33"	Suppressed	4982	Suppressed	Suppressed
	"Female"	"F"	"34 years"	"34"	12	4759	Unreliable	72.8
	"Female"	"F"	"35 years"	"35"	Suppressed	4918	Suppressed	Suppressed
	"Female"	"F"	"36 years"	"36"	Suppressed	4787	Suppressed	Suppressed
	"Female"	"F"	"37 years"	"37"	Suppressed	4475	Suppressed	Suppressed
	"Female"	"F"	"38 years"	"38"	Suppressed	4736	Suppressed	Suppressed
	"Female"	"F"	"39 years"	"39"	Suppressed	4232	Suppressed	Suppressed
	"Female"	"F"	"40 years"	"40"	11	4057	Unreliable	81.8
	"Female"	"F"	"41 years"	"41"	Suppressed	4029	Suppressed	Suppressed
	"Female"	"F"	"42 years"	"42"	Suppressed	3827	Suppressed	Suppressed
	"Female"	"F"	"43 years"	"43"	Suppressed	3743	Suppressed	Suppressed
	"Female"	"F"	"44 years"	"44"	Suppressed	3660	Suppressed	Suppressed
	"Female"	"F"	"45 years"	"45"	15	3641	Unreliable	106.4
	"Female"	"F"	"46 years"	"46"	Suppressed	3623	Suppressed	Suppressed
	"Female"	"F"	"47 years"	"47"	13	3729	Unreliable	96.7
	"Female"	"F"	"48 years"	"48"	13	3896	Unreliable	92.5
	"Female"	"F"	"49 years"	"49"	14	3591	Unreliable	104.2
	"Female"	"F"	"50 years"	"50"	18	3460	Unreliable	122.6
	"Female"	"F"	"51 years"	"51"	26	3419	760.5	149.1
	"Female"	"F"	"52 years"	"52"	24	3452	695.2	141.9
	"Female"	"F"	"53 years"	"53"	21	3676	571.3	124.7
	"Female"	"F"	"54 years"	"54"	21	3568	588.6	128.4
	"Female"	"F"	"55 years"	"55"	24	3518	682.2	139.3
	"Female"	"F"	"56 years"	"56"	18	3513	Unreliable	120.8
	"Female"	"F"	"57 years"	"57"	23	3430	670.6	139.8
