"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",48440,7393737,655.1
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",3392,7449360,45.5
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",2274,7541266,30.2
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",1749,7583269,23.1
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",1355,7611312,17.8
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",1171,7614795,15.4
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",1026,7625712,13.5
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",996,7688454,13.0
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",1021,7763378,13.2
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",988,7819503,12.6
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",1103,7881277,14.0
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",1122,7954223,14.1
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",1329,7972289,16.7
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",1645,7976982,20.6
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",2150,8038236,26.7
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",3049,8133231,37.5
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",4214,8196783,51.4
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",5621,8280827,67.9
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",7928,8382375,94.6
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",9209,8456435,108.9
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",9963,8532143,116.8
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",11769,8667168,135.8
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",12421,8834003,140.6
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",13345,9038275,147.6
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",14193,9246806,153.5
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",15141,9400373,161.1
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",15559,9437899,164.9
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",16238,9383455,173.0
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",16685,9247268,180.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",16767,9077686,184.7
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",16903,8921219,189.5
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",17199,8774953,196.0
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",17652,8703744,202.8
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",18001,8658006,207.9
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",18721,8591872,217.9
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",19159,8551970,224.0
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",19421,8467872,229.3
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",19932,8322684,239.5
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",20308,8164638,248.7
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",20477,7978906,256.6
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",20867,7820331,266.8
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",21357,7716341,276.8
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",22086,7682768,287.5
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",23516,7763273,302.9
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",25971,8009886,324.2
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",28521,8229112,346.6
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",31599,8404708,376.0
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",34202,8513004,401.8
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",37211,8537964,435.8
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",40368,8488549,475.6
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",44299,8525589,519.6
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",49515,8697704,569.3
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",55432,8912544,622.0
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",61560,9118208,675.1
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",69133,9315551,742.1
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",76183,9415661,809.1
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",81971,9411003,871.0
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",89402,9394434,951.6
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",94982,9351172,1015.7
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",101275,9204696,1100.3
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",105928,9024867,1173.7
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",111999,8828888,1268.6
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",116796,8573437,1362.3
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",121800,8280464,1470.9
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",124108,8002386,1550.9
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",127168,7707929,1649.8
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",130280,7445308,1749.8
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",134485,7232446,1859.5
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",140242,7147492,1962.1
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",142437,6694258,2127.7
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",143329,6260095,2289.6
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",146375,5843551,2504.9
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2",147924,5470302,2704.1
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2",146233,4893589,2988.3
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2",150093,4612184,3254.3
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2",153360,4299315,3567.1
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2",154098,3972142,3879.5
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2",153912,3594106,4282.3
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2",153225,3291373,4655.4
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2",156412,3037634,5149.1
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2",159603,2800453,5699.2
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2",161177,2548405,6324.6
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2",162199,2314915,7006.7
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2",163702,2109228,7761.2
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2",165629,1910740,8668.3
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2",165059,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2",165161,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2",163441,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2",158355,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2",149675,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2",138959,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2",125941,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2",111361,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2",95554,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2",79169,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2",63335,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2",48048,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2",35105,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2",24556,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2",16117,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2",25357,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2",252,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: US; 1999-2020; SYA; M; NON; ALL; 2019; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"Year/Month: 2015; 2016; 2017; 2018; 2019"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: False"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 10, 2026 12:31:34 AM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 10, 2026 12:31:34 AM"
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
