"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",188,56046,335.4
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",10,54797,Unreliable
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",Suppressed,55309,Suppressed
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",Suppressed,55155,Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",Suppressed,54612,Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53854,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52583,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51789,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",10,51493,Unreliable
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51460,Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",Suppressed,50891,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51043,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51494,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51223,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",Suppressed,50824,Suppressed
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",10,50842,Unreliable
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51159,Suppressed
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51326,Suppressed
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",13,58699,Unreliable
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",12,61064,Unreliable
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",20,57526,34.8
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",17,57485,Unreliable
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",20,62629,31.9
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",21,67814,31.0
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",24,72343,33.2
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",27,76616,35.2
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",32,81940,39.1
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",28,85981,32.6
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",26,88069,29.5
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",44,88432,49.8
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",53,87267,60.7
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",45,84891,53.0
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",40,82626,48.4
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",46,80689,57.0
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",46,79643,57.8
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",65,78155,83.2
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",57,77112,73.9
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",69,74818,92.2
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",76,72565,104.7
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",55,70489,78.0
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",70,68224,102.6
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",57,66487,85.7
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",76,65090,116.8
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",91,64349,141.4
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",76,63879,119.0
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",103,65401,157.5
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",97,67078,144.6
