"Notes"	"Gender"	"Gender Code"	"Single-Year Ages"	"Single-Year Ages Code"	Deaths	Population	Crude Rate	Crude Rate Standard Error
	"Female"	"F"	"< 1 year"	"0"	125	15401	811.6	72.6
	"Female"	"F"	"1 year"	"1"	10	15696	Unreliable	20.1
	"Female"	"F"	"2 years"	"2"	Suppressed	16187	Suppressed	Suppressed
	"Female"	"F"	"3 years"	"3"	Suppressed	16654	Suppressed	Suppressed
	"Female"	"F"	"4 years"	"4"	Suppressed	16924	Suppressed	Suppressed
	"Female"	"F"	"5 years"	"5"	Suppressed	16985	Suppressed	Suppressed
	"Female"	"F"	"6 years"	"6"	Suppressed	16879	Suppressed	Suppressed
	"Female"	"F"	"7 years"	"7"	0	16566	Unreliable	0.0
	"Female"	"F"	"8 years"	"8"	Suppressed	16466	Suppressed	Suppressed
	"Female"	"F"	"9 years"	"9"	Suppressed	16669	Suppressed	Suppressed
	"Female"	"F"	"10 years"	"10"	Suppressed	16586	Suppressed	Suppressed
	"Female"	"F"	"11 years"	"11"	Suppressed	16599	Suppressed	Suppressed
	"Female"	"F"	"12 years"	"12"	Suppressed	16859	Suppressed	Suppressed
	"Female"	"F"	"13 years"	"13"	Suppressed	17054	Suppressed	Suppressed
	"Female"	"F"	"14 years"	"14"	Suppressed	17015	Suppressed	Suppressed
	"Female"	"F"	"15 years"	"15"	Suppressed	16785	Suppressed	Suppressed
	"Female"	"F"	"16 years"	"16"	Suppressed	16693	Suppressed	Suppressed
	"Female"	"F"	"17 years"	"17"	Suppressed	16545	Suppressed	Suppressed
	"Female"	"F"	"18 years"	"18"	Suppressed	16564	Suppressed	Suppressed
	"Female"	"F"	"19 years"	"19"	14	16499	Unreliable	22.7
	"Female"	"F"	"20 years"	"20"	12	16565	Unreliable	20.9
	"Female"	"F"	"21 years"	"21"	17	16811	Unreliable	24.5
	"Female"	"F"	"22 years"	"22"	10	16743	Unreliable	18.9
	"Female"	"F"	"23 years"	"23"	17	17040	Unreliable	24.2
	"Female"	"F"	"24 years"	"24"	10	17485	Unreliable	18.1
	"Female"	"F"	"25 years"	"25"	19	17800	Unreliable	24.5
	"Female"	"F"	"26 years"	"26"	13	18349	Unreliable	19.6
	"Female"	"F"	"27 years"	"27"	21	19297	108.8	23.7
	"Female"	"F"	"28 years"	"28"	Suppressed	19990	Suppressed	Suppressed
	"Female"	"F"	"29 years"	"29"	21	20054	104.7	22.9
	"Female"	"F"	"30 years"	"30"	31	20303	152.7	27.4
	"Female"	"F"	"31 years"	"31"	28	20613	135.8	25.7
	"Female"	"F"	"32 years"	"32"	24	20520	117.0	23.9
	"Female"	"F"	"33 years"	"33"	31	20413	151.9	27.3
	"Female"	"F"	"34 years"	"34"	42	19968	210.3	32.5
	"Female"	"F"	"35 years"	"35"	33	19924	165.6	28.8
	"Female"	"F"	"36 years"	"36"	35	20055	174.5	29.5
	"Female"	"F"	"37 years"	"37"	49	19386	252.8	36.1
	"Female"	"F"	"38 years"	"38"	43	19293	222.9	34.0
	"Female"	"F"	"39 years"	"39"	49	19032	257.5	36.8
	"Female"	"F"	"40 years"	"40"	50	17839	280.3	39.6
	"Female"	"F"	"41 years"	"41"	50	17533	285.2	40.3
