"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",213,62392,341.4,295.5,387.2
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",19,62150,30.6,18.4,47.7
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",10,63552,15.7,7.5,28.9
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,64947,Suppressed,Suppressed,Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,66062,Suppressed,Suppressed,Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,67058,Suppressed,Suppressed,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,67571,Suppressed,Suppressed,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,67772,Suppressed,Suppressed,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,67159,Suppressed,Suppressed,Suppressed
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,66596,Suppressed,Suppressed,Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,64497,Suppressed,Suppressed,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,62917,Suppressed,Suppressed,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,61605,Suppressed,Suppressed,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,60330,Suppressed,Suppressed,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",Suppressed,58816,Suppressed,Suppressed,Suppressed
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",11,57851,19.0,9.5,34.0
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",11,56853,19.3,9.7,34.6
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",12,55586,21.6,11.2,37.7
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",16,57556,27.8,15.9,45.1
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",23,55269,41.6,26.4,62.4
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",29,54114,53.6,35.9,77.0
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",26,51616,50.4,32.9,73.8
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",24,50546,47.5,30.4,70.6
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",12,49377,24.3,12.6,42.5
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",23,47944,48.0,30.4,72.0
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",26,48319,53.8,35.1,78.8
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",25,48192,51.9,33.6,76.6
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",30,47563,63.1,42.6,90.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",24,47059,51.0,32.7,75.9
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",36,46881,76.8,53.8,106.3
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",34,45974,74.0,51.2,103.3
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",40,44722,89.4,63.9,121.8
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",42,43392,96.8,69.8,130.8
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",34,41803,81.3,56.3,113.7
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2","More than one race","M",49,39910,122.8,90.8,162.3
