"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",21,3392,619.1,383.2,946.4
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,3436,Suppressed,Suppressed,Suppressed
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,3637,Suppressed,Suppressed,Suppressed
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,3785,Suppressed,Suppressed,Suppressed
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4032,Suppressed,Suppressed,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4239,0.0,0.0,0.0
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4362,0.0,0.0,0.0
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4444,0.0,0.0,0.0
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4533,0.0,0.0,0.0
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4514,Suppressed,Suppressed,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4519,Suppressed,Suppressed,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4481,0.0,0.0,0.0
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",0,4576,0.0,0.0,0.0
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4698,Suppressed,Suppressed,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4791,Suppressed,Suppressed,Suppressed
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4810,Suppressed,Suppressed,Suppressed
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4794,Suppressed,Suppressed,Suppressed
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4793,Suppressed,Suppressed,Suppressed
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4887,Suppressed,Suppressed,Suppressed
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",Suppressed,4799,Suppressed,Suppressed,Suppressed
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",15,5096,294.3,164.7,485.5
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",11,5422,202.9,101.3,363.0
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",14,5363,261.0,142.7,438.0
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",12,5532,216.9,112.1,378.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",13,5414,240.1,127.9,410.6
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",18,5424,331.9,196.7,524.5
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",21,5595,375.3,232.3,573.7
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",20,5532,361.5,220.8,558.4
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",20,5854,341.6,208.7,527.6
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",29,6044,479.8,321.3,689.1
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",21,6245,336.3,208.2,514.0
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",17,6333,268.4,156.4,429.8
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",29,6266,462.8,310.0,664.7
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",30,6007,499.4,337.0,712.9
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",25,5926,421.9,273.0,622.8
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",29,5635,514.6,344.7,739.1
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",22,5521,398.5,249.7,603.3
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",29,5351,542.0,363.0,778.3
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",30,5508,544.7,367.5,777.5
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",36,5282,681.6,477.4,943.6
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",24,5322,451.0,288.9,671.0
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",42,5178,811.1,584.6,1096.4
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",42,5087,825.6,595.0,1116.0
