"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",579,65311,886.5,814.3,958.7
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",69,65887,104.7,81.5,132.5
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",35,67489,51.9,36.1,72.1
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",26,70485,36.9,24.1,54.0
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",31,74006,41.9,28.5,59.5
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",21,76524,27.4,17.0,41.9
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",23,78827,29.2,18.5,43.8
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",16,81324,19.7,11.2,32.0
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",13,82753,15.7,8.4,26.9
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",12,83941,14.3,7.4,25.0
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",27,84644,31.9,21.0,46.4
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",15,85576,17.5,9.8,28.9
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",29,87333,33.2,22.2,47.7
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",37,89164,41.5,29.2,57.2
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",52,90566,57.4,42.9,75.3
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",77,91521,84.1,66.4,105.2
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",89,91658,97.1,78.0,119.5
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",141,90745,155.4,129.7,181.0
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",191,90000,212.2,182.1,242.3
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",191,89889,212.5,182.3,242.6
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",232,91080,254.7,221.9,287.5
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",260,91970,282.7,248.3,317.1
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",254,92049,275.9,242.0,309.9
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",298,91528,325.6,288.6,362.6
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",301,91031,330.7,293.3,368.0
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",366,90668,403.7,362.3,445.0
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",376,91412,411.3,369.7,452.9
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",427,93105,458.6,415.1,502.1
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",473,95762,493.9,449.4,538.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",514,97974,524.6,479.3,570.0
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",586,99076,591.5,543.6,639.4
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",554,98507,562.4,515.6,609.2
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",603,96675,623.7,574.0,673.5
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",605,93518,646.9,595.4,698.5
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","American Indian or Alaska Native","1002-5",638,90248,706.9,652.1,761.8
