"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",15492,1317751,1175.6,1157.1,1194.2
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1137,1325228,85.8,80.8,90.8
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",757,1339074,56.5,52.5,60.6
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",585,1351715,43.3,39.8,46.8
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",474,1365340,34.7,31.6,37.8
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",473,1382789,34.2,31.1,37.3
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",385,1397737,27.5,24.8,30.3
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",321,1405196,22.8,20.3,25.3
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",322,1412349,22.8,20.3,25.3
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",333,1422150,23.4,20.9,25.9
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",339,1425579,23.8,21.2,26.3
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",383,1437523,26.6,24.0,29.3
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",402,1466154,27.4,24.7,30.1
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",599,1496939,40.0,36.8,43.2
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",906,1513911,59.8,55.9,63.7
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1335,1518809,87.9,83.2,92.6
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",1919,1511612,127.0,121.3,132.6
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Black or African American","2054-5",2596,1492577,173.9,167.2,180.6
