"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",2115,496975,425.6,407.4,443.7
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",169,498603,33.9,28.8,39.0
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",100,501836,19.9,16.0,23.8
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",83,502788,16.5,13.1,20.5
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",53,507208,10.4,7.8,13.7
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",53,510990,10.4,7.8,13.6
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",49,513537,9.5,7.1,12.6
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",41,512852,8.0,5.7,10.8
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",47,509569,9.2,6.8,12.3
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",36,505373,7.1,5.0,9.9
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",46,498930,9.2,6.8,12.3
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",42,492525,8.5,6.1,11.5
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",50,489429,10.2,7.6,13.5
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",70,485561,14.4,11.2,18.2
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",97,477580,20.3,16.5,24.8
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",110,465445,23.6,19.2,28.0
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",154,451283,34.1,28.7,39.5
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",182,432994,42.0,35.9,48.1
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",259,415340,62.4,54.8,70.0
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",289,402346,71.8,63.5,80.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",334,393981,84.8,75.7,93.9
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",336,386360,87.0,77.7,96.3
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",351,375363,93.5,83.7,103.3
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",349,364260,95.8,85.8,105.9
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",326,352606,92.5,82.4,102.5
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",369,342346,107.8,96.8,118.8
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",397,332094,119.5,107.8,131.3
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",376,322316,116.7,104.9,128.4
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",389,313494,124.1,111.8,136.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",406,302465,134.2,121.2,147.3
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",405,288957,140.2,126.5,153.8
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",433,273350,158.4,143.5,173.3
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",415,257860,160.9,145.5,176.4
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",408,241268,169.1,152.7,185.5
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",374,226961,164.8,148.1,181.5
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",393,214263,183.4,165.3,201.6
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",384,203424,188.8,169.9,207.6
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",391,196368,199.1,179.4,218.9
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","More than one race","M",360,190713,188.8,169.3,208.3
