"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate,Crude Rate Lower 95% Confidence Interval,Crude Rate Upper 95% Confidence Interval
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",211,21171,996.6,862.2,1131.1
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",22,21736,101.2,63.4,153.2
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22126,Suppressed,Suppressed,Suppressed
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",19,22609,84.0,50.6,131.2
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",10,23202,43.1,20.7,79.3
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,23598,Suppressed,Suppressed,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,23701,Suppressed,Suppressed,Suppressed
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,23678,Suppressed,Suppressed,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,23193,Suppressed,Suppressed,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22842,Suppressed,Suppressed,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22348,Suppressed,Suppressed,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22108,Suppressed,Suppressed,Suppressed
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22143,Suppressed,Suppressed,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22461,Suppressed,Suppressed,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",17,22610,75.2,43.8,120.4
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",20,22686,88.2,53.9,136.2
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,22722,Suppressed,Suppressed,Suppressed
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",16,22573,70.9,40.5,115.1
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",24,22488,106.7,68.4,158.8
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",39,22637,172.3,122.5,235.5
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",47,22839,205.8,151.2,273.7
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",44,22940,191.8,139.4,257.5
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",60,22860,262.5,200.3,337.8
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",51,22871,223.0,166.0,293.2
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",60,23127,259.4,198.0,333.9
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",46,23436,196.3,143.7,261.8
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",74,23702,312.2,245.2,392.0
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",64,23979,266.9,205.5,340.8
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",67,24423,274.3,212.6,348.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",84,25456,330.0,263.2,408.5
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",95,26396,359.9,291.2,440.0
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",59,27189,217.0,165.2,279.9
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",88,27792,316.6,254.0,390.1
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",108,28204,382.9,310.7,455.1
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",93,28114,330.8,267.0,405.2
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",91,27782,327.6,263.7,402.2
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",91,27202,334.5,269.3,410.7
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",124,26926,460.5,379.5,541.6
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",111,26772,414.6,337.5,491.7
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",120,26376,455.0,373.6,536.4
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",121,26035,464.8,381.9,547.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",116,25188,460.5,376.7,544.3
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",131,24260,540.0,447.5,632.5
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",145,23168,625.9,524.0,727.7
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",141,22100,638.0,532.7,743.3
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",138,21373,645.7,537.9,753.4
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",165,20660,798.6,676.8,920.5
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",172,20170,852.8,725.3,980.2
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",160,19743,810.4,684.8,936.0
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",161,19516,825.0,697.5,952.4
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",164,19429,844.1,714.9,973.3
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",199,19185,1037.3,893.1,1181.4
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",184,18763,980.7,839.0,1122.4
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",197,18396,1070.9,921.3,1220.4
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",227,18030,1259.0,1095.2,1422.8
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",196,17834,1099.0,945.2,1252.9
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",238,17660,1347.7,1176.5,1518.9
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",231,17551,1316.2,1146.4,1485.9
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",244,17484,1395.6,1220.5,1570.7
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",282,17326,1627.6,1437.6,1817.6
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",221,17018,1298.6,1127.4,1469.8
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",259,16591,1561.1,1371.0,1751.2
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",259,16155,1603.2,1408.0,1798.5
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",284,15533,1828.4,1615.7,2041.0
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",285,14818,1923.3,1700.0,2146.6
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",306,14051,2177.8,1933.8,2421.8
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",274,13211,2074.0,1828.4,2319.6
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",297,12486,2378.7,2108.1,2649.2
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",237,11706,2024.6,1766.8,2282.4
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",318,11090,2867.4,2552.3,3182.6
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",282,10501,2685.5,2372.0,2998.9
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",280,9978,2806.2,2477.5,3134.9
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",265,9356,2832.4,2491.4,3173.4
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",269,8789,3060.6,2694.9,3426.4
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",264,8284,3186.9,2802.4,3571.3
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",248,7539,3289.6,2880.1,3699.0
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",245,6768,3620.0,3166.7,4073.3
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",229,6072,3771.4,3282.9,4259.9
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",221,5307,4164.3,3615.3,4713.4
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",198,4702,4211.0,3624.4,4797.5
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",199,4242,4691.2,4039.4,5343.0
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",209,3704,5642.5,4877.6,6407.5
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",182,3255,5591.4,4779.1,6403.7
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",155,2911,5324.6,4486.4,6162.9
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",146,2551,5723.2,4794.9,6651.6
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",138,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",133,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",120,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",104,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",86,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",79,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",59,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",66,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",37,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",35,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",21,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",15,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2","Native Hawaiian or Other Pacific Islander","NHOPI",Suppressed,Not Applicable,Not Applicable,Not Applicable,Not Applicable
