"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",376,60852,617.9
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",24,58289,41.2
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",19,56629,Unreliable
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",10,56550,Unreliable
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",Suppressed,56802,Suppressed
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",Suppressed,57187,Suppressed
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",10,58191,Unreliable
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",Suppressed,59837,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",Suppressed,60974,Suppressed
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",Suppressed,62507,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",Suppressed,64600,Suppressed
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",10,65225,Unreliable
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",Suppressed,65737,Suppressed
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",Suppressed,66077,Suppressed
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",18,65853,Unreliable
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",17,65390,Unreliable
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",31,64284,48.2
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",48,63927,75.1
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",59,71002,83.1
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",62,84024,73.8
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",92,91951,100.1
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",91,95589,95.2
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",92,93922,98.0
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",91,87641,103.8
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",71,84400,84.1
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",53,83932,63.1
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",81,80881,100.1
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",69,78619,87.8
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",52,77190,67.4
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",77,75600,101.9
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",73,78114,93.5
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",71,78666,90.3
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",92,80062,114.9
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",94,79784,117.8
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2",121,79191,152.8
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2",95,79136,120.0
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2",111,78949,140.6
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2",122,80396,151.7
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2",128,82211,155.7
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2",170,84472,201.3
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2",175,86827,201.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2",194,87749,221.1
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2",221,88105,250.8
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2",232,88071,263.4
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2",284,86961,326.6
,"45 years","45","Male","M","Not Hispanic or Latino","2186-2",277,86081,321.8
,"46 years","46","Male","M","Not Hispanic or Latino","2186-2",293,85121,344.2
,"47 years","47","Male","M","Not Hispanic or Latino","2186-2",320,83713,382.3
,"48 years","48","Male","M","Not Hispanic or Latino","2186-2",318,81386,390.7
,"49 years","49","Male","M","Not Hispanic or Latino","2186-2",341,78960,431.9
,"50 years","50","Male","M","Not Hispanic or Latino","2186-2",381,76591,497.4
,"51 years","51","Male","M","Not Hispanic or Latino","2186-2",370,74705,495.3
,"52 years","52","Male","M","Not Hispanic or Latino","2186-2",471,72302,651.4
,"53 years","53","Male","M","Not Hispanic or Latino","2186-2",443,70878,625.0
,"54 years","54","Male","M","Not Hispanic or Latino","2186-2",447,70818,631.2
,"55 years","55","Male","M","Not Hispanic or Latino","2186-2",464,66312,699.7
,"56 years","56","Male","M","Not Hispanic or Latino","2186-2",445,62606,710.8
,"57 years","57","Male","M","Not Hispanic or Latino","2186-2",449,58400,768.8
,"58 years","58","Male","M","Not Hispanic or Latino","2186-2",492,54732,898.9
,"59 years","59","Male","M","Not Hispanic or Latino","2186-2",472,49018,962.9
,"60 years","60","Male","M","Not Hispanic or Latino","2186-2",511,46403,1101.2
,"61 years","61","Male","M","Not Hispanic or Latino","2186-2",516,43912,1175.1
,"62 years","62","Male","M","Not Hispanic or Latino","2186-2",492,41177,1194.8
,"63 years","63","Male","M","Not Hispanic or Latino","2186-2",502,38018,1320.4
,"64 years","64","Male","M","Not Hispanic or Latino","2186-2",510,36578,1394.3
,"65 years","65","Male","M","Not Hispanic or Latino","2186-2",546,35102,1555.5
,"66 years","66","Male","M","Not Hispanic or Latino","2186-2",542,33925,1597.6
,"67 years","67","Male","M","Not Hispanic or Latino","2186-2",615,32695,1881.0
,"68 years","68","Male","M","Not Hispanic or Latino","2186-2",646,31627,2042.6
,"69 years","69","Male","M","Not Hispanic or Latino","2186-2",706,30997,2277.6
,"70 years","70","Male","M","Not Hispanic or Latino","2186-2",701,30402,2305.8
,"71 years","71","Male","M","Not Hispanic or Latino","2186-2",809,30365,2664.3
,"72 years","72","Male","M","Not Hispanic or Latino","2186-2",797,29652,2687.8
,"73 years","73","Male","M","Not Hispanic or Latino","2186-2",918,29188,3145.1
,"74 years","74","Male","M","Not Hispanic or Latino","2186-2",999,28411,3516.2
,"75 years","75","Male","M","Not Hispanic or Latino","2186-2",1040,27292,3810.6
,"76 years","76","Male","M","Not Hispanic or Latino","2186-2",1150,26184,4392.0
,"77 years","77","Male","M","Not Hispanic or Latino","2186-2",1224,25567,4787.4
,"78 years","78","Male","M","Not Hispanic or Latino","2186-2",1219,24732,4928.8
,"79 years","79","Male","M","Not Hispanic or Latino","2186-2",1263,24001,5262.3
,"80 years","80","Male","M","Not Hispanic or Latino","2186-2",1431,23145,6182.8
,"81 years","81","Male","M","Not Hispanic or Latino","2186-2",1474,21721,6786.1
,"82 years","82","Male","M","Not Hispanic or Latino","2186-2",1463,19514,7497.2
,"83 years","83","Male","M","Not Hispanic or Latino","2186-2",1578,17743,8893.6
,"84 years","84","Male","M","Not Hispanic or Latino","2186-2",1462,15214,9609.6
,"85 years","85","Male","M","Not Hispanic or Latino","2186-2",1326,Not Applicable,Not Applicable
,"86 years","86","Male","M","Not Hispanic or Latino","2186-2",1361,Not Applicable,Not Applicable
,"87 years","87","Male","M","Not Hispanic or Latino","2186-2",1277,Not Applicable,Not Applicable
,"88 years","88","Male","M","Not Hispanic or Latino","2186-2",1093,Not Applicable,Not Applicable
,"89 years","89","Male","M","Not Hispanic or Latino","2186-2",1044,Not Applicable,Not Applicable
,"90 years","90","Male","M","Not Hispanic or Latino","2186-2",879,Not Applicable,Not Applicable
,"91 years","91","Male","M","Not Hispanic or Latino","2186-2",716,Not Applicable,Not Applicable
,"92 years","92","Male","M","Not Hispanic or Latino","2186-2",636,Not Applicable,Not Applicable
,"93 years","93","Male","M","Not Hispanic or Latino","2186-2",482,Not Applicable,Not Applicable
,"94 years","94","Male","M","Not Hispanic or Latino","2186-2",401,Not Applicable,Not Applicable
,"95 years","95","Male","M","Not Hispanic or Latino","2186-2",274,Not Applicable,Not Applicable
,"96 years","96","Male","M","Not Hispanic or Latino","2186-2",201,Not Applicable,Not Applicable
,"97 years","97","Male","M","Not Hispanic or Latino","2186-2",142,Not Applicable,Not Applicable
,"98 years","98","Male","M","Not Hispanic or Latino","2186-2",109,Not Applicable,Not Applicable
,"99 years","99","Male","M","Not Hispanic or Latino","2186-2",78,Not Applicable,Not Applicable
,"100+ years","100","Male","M","Not Hispanic or Latino","2186-2",116,Not Applicable,Not Applicable
,"Not Stated","NS","Male","M","Not Hispanic or Latino","2186-2",17,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: SD; 1999-2020; SYA; M; NON; ALL; 2005; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Male"
"States: San Diego County, CA (06073)"
"Year/Month: 2001; 2002; 2003; 2004; 2005"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 9, 2026 7:07:07 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 9, 2026 7:07:07 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
