"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",268,57670,464.7
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",23,54666,42.1
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51947,Suppressed
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52768,Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51467,Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",Suppressed,50204,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",Suppressed,50154,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51278,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51145,Suppressed
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52477,Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",Suppressed,56327,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",Suppressed,55907,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",Suppressed,57882,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",11,58257,Unreliable
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",Suppressed,59198,Suppressed
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",Suppressed,60176,Suppressed
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",17,61128,Unreliable
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",11,60985,Unreliable
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",22,63061,34.9
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",27,65828,41.0
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",26,68940,37.7
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",25,73913,33.8
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",38,74424,51.1
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",22,78865,27.9
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",22,80638,27.3
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",29,83540,34.7
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",30,82308,36.4
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",28,80710,34.7
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",21,74861,28.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",27,68351,39.5
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",27,66488,40.6
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",36,62489,57.6
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",38,65095,58.4
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",43,65834,65.3
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",35,67935,51.5
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",55,69888,78.7
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",59,70954,83.2
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",61,71678,85.1
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",58,70529,82.2
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",80,71392,112.1
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",94,72247,130.1
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",91,74968,121.4
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",118,76574,154.1
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",133,80242,165.7
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",129,81035,159.2
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",147,81286,180.8
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",166,81887,202.7
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",189,82672,228.6
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",198,82104,241.2
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",186,81506,228.2
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",232,81324,285.3
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",220,79967,275.1
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",229,77201,296.6
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",272,75723,359.2
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2",286,73443,389.4
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2",269,71804,374.6
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2",294,69894,420.6
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2",325,69865,465.2
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2",339,65691,516.1
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2",317,62308,508.8
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2",346,57564,601.1
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2",363,55101,658.8
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2",388,49310,786.9
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2",346,46709,740.8
,"64 years","64","Female","F","Not Hispanic or Latino","2186-2",375,45135,830.8
,"65 years","65","Female","F","Not Hispanic or Latino","2186-2",423,43511,972.2
,"66 years","66","Female","F","Not Hispanic or Latino","2186-2",438,40489,1081.8
,"67 years","67","Female","F","Not Hispanic or Latino","2186-2",459,38640,1187.9
,"68 years","68","Female","F","Not Hispanic or Latino","2186-2",480,37356,1284.9
,"69 years","69","Female","F","Not Hispanic or Latino","2186-2",485,36250,1337.9
,"70 years","70","Female","F","Not Hispanic or Latino","2186-2",531,34880,1522.4
,"71 years","71","Female","F","Not Hispanic or Latino","2186-2",559,34682,1611.8
,"72 years","72","Female","F","Not Hispanic or Latino","2186-2",639,33598,1901.9
,"73 years","73","Female","F","Not Hispanic or Latino","2186-2",641,33489,1914.1
,"74 years","74","Female","F","Not Hispanic or Latino","2186-2",778,32613,2385.6
,"75 years","75","Female","F","Not Hispanic or Latino","2186-2",801,32523,2462.9
,"76 years","76","Female","F","Not Hispanic or Latino","2186-2",861,31964,2693.7
,"77 years","77","Female","F","Not Hispanic or Latino","2186-2",905,32018,2826.5
,"78 years","78","Female","F","Not Hispanic or Latino","2186-2",1077,31409,3429.0
,"79 years","79","Female","F","Not Hispanic or Latino","2186-2",1148,31169,3683.1
,"80 years","80","Female","F","Not Hispanic or Latino","2186-2",1276,30453,4190.1
,"81 years","81","Female","F","Not Hispanic or Latino","2186-2",1460,30206,4833.5
,"82 years","82","Female","F","Not Hispanic or Latino","2186-2",1542,28287,5451.3
,"83 years","83","Female","F","Not Hispanic or Latino","2186-2",1653,26779,6172.7
,"84 years","84","Female","F","Not Hispanic or Latino","2186-2",1729,24389,7089.3
,"85 years","85","Female","F","Not Hispanic or Latino","2186-2",1693,Not Applicable,Not Applicable
,"86 years","86","Female","F","Not Hispanic or Latino","2186-2",1603,Not Applicable,Not Applicable
,"87 years","87","Female","F","Not Hispanic or Latino","2186-2",1617,Not Applicable,Not Applicable
,"88 years","88","Female","F","Not Hispanic or Latino","2186-2",1586,Not Applicable,Not Applicable
,"89 years","89","Female","F","Not Hispanic or Latino","2186-2",1497,Not Applicable,Not Applicable
,"90 years","90","Female","F","Not Hispanic or Latino","2186-2",1490,Not Applicable,Not Applicable
,"91 years","91","Female","F","Not Hispanic or Latino","2186-2",1332,Not Applicable,Not Applicable
,"92 years","92","Female","F","Not Hispanic or Latino","2186-2",1202,Not Applicable,Not Applicable
,"93 years","93","Female","F","Not Hispanic or Latino","2186-2",1054,Not Applicable,Not Applicable
,"94 years","94","Female","F","Not Hispanic or Latino","2186-2",979,Not Applicable,Not Applicable
,"95 years","95","Female","F","Not Hispanic or Latino","2186-2",772,Not Applicable,Not Applicable
,"96 years","96","Female","F","Not Hispanic or Latino","2186-2",628,Not Applicable,Not Applicable
,"97 years","97","Female","F","Not Hispanic or Latino","2186-2",514,Not Applicable,Not Applicable
,"98 years","98","Female","F","Not Hispanic or Latino","2186-2",363,Not Applicable,Not Applicable
,"99 years","99","Female","F","Not Hispanic or Latino","2186-2",256,Not Applicable,Not Applicable
,"100+ years","100","Female","F","Not Hispanic or Latino","2186-2",585,Not Applicable,Not Applicable
,"Not Stated","NS","Female","F","Not Hispanic or Latino","2186-2",Suppressed,Not Applicable,Not Applicable
"---"
"Dataset: Underlying Cause of Death, 1999-2020"
"Query Parameters:"
"Title: SD; 1999-2020; SYA; F; NON; ALL; 2008; 5Y"
"Hispanic Origin: Not Hispanic or Latino"
"Sex: Female"
"States: San Diego County, CA (06073)"
"Year/Month: 2004; 2005; 2006; 2007; 2008"
"Group By: Single-Year Ages; Sex; Hispanic Origin"
"Show Totals: Disabled"
"Show Zero Values: True"
"Show Suppressed: True"
"Calculate Rates Per: 100,000"
"Rate Options: Default intercensal populations for years 2001-2009 (except Infant Age Groups)"
"---"
"Help: See http://wonder.cdc.gov/wonder/help/ucd.html for more information."
"---"
"Query Date: Feb 9, 2026 9:30:17 PM"
"---"
"Suggested Citation: Centers for Disease Control and Prevention, National Center for Health Statistics. National Vital Statistics"
"System, Mortality 1999-2020 on CDC WONDER Online Database, released in 2021. Data are from the Multiple Cause of Death Files,"
"1999-2020, as compiled from data provided by the 57 vital statistics jurisdictions through the Vital Statistics Cooperative"
"Program. Accessed at http://wonder.cdc.gov/ucd-icd10.html on Feb 9, 2026 9:30:17 PM"
"---"
Messages:
"1. Totals are not available for these results due to suppression constraints. More Information:"
"http://wonder.cdc.gov/wonder/help/faq.html#Privacy."
"---"
Caveats:
"1. Population and rates are labeled 'Not Applicable' when they include a subset of ages 85-100+ because populations are not"
"available for those ages. More information: http://wonder.cdc.gov/wonder/help/ucd.html#Ages 85-100."
"2. Data are Suppressed when the data meet the criteria for confidentiality constraints. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Assurance of Confidentiality."
"3. Death rates are flagged as Unreliable when the rate is calculated with a numerator of 20 or less. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Unreliable."
"4. Deaths of persons with Age ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among age groups,"
"so are not included in age-specific counts, age-specific rates or in any age-adjusted rates. More information:"
"http://wonder.cdc.gov/wonder/help/ucd.html#Not Stated."
"5. Deaths of persons with Hispanic origin ""Not Stated"" are included in ""All"" counts and rates, but are not distributed among"
"Hispanic Origin groups, so are not included in the Hispanic Origin specific counts and rates. More information:"
