"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",227,57402,395.5
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",11,55948,Unreliable
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",Suppressed,54842,Suppressed
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53694,Suppressed
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53404,Suppressed
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52656,Suppressed
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52679,Suppressed
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52870,Suppressed
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52466,Suppressed
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51771,Suppressed
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51315,Suppressed
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51464,Suppressed
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51074,Suppressed
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",Suppressed,51287,Suppressed
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",10,52234,Unreliable
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",Suppressed,52975,Suppressed
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",Suppressed,53647,Suppressed
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",Suppressed,54849,Suppressed
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",13,59420,Unreliable
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",15,60601,Unreliable
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",14,61672,Unreliable
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",27,66476,40.6
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",26,74913,34.7
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",27,81459,33.1
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",34,85076,40.0
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",27,86265,31.3
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",28,85461,32.8
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",30,83250,36.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",32,81792,39.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",29,80564,36.0
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",34,79694,42.7
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",33,78494,42.0
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",45,76244,59.0
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",47,74001,63.5
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",32,72183,44.3
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",48,69599,69.0
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",42,67681,62.1
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",40,65854,60.7
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",53,64821,81.8
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",44,64277,68.5
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",72,66040,109.0
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",64,67776,94.4
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",96,68947,139.2
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",90,69610,129.3
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",79,69734,113.3
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",105,69154,151.8
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",121,69385,174.4
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",146,71031,205.5
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",165,72969,226.1
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",187,75154,248.8
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",183,78002,234.6
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",231,79485,290.6
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",248,80135,309.5
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",244,80398,303.5
