"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",49091,7497134,654.8
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",3382,7490971,45.1
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",2174,7486775,29.0
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",1596,7499662,21.3
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",1285,7532186,17.1
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",1171,7554344,15.5
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",1068,7617726,14.0
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",1045,7731623,13.5
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",995,7872756,12.6
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",1077,8062050,13.4
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",1089,8363143,13.0
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",1089,8490777,12.8
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",1206,8622752,14.0
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",1444,8645803,16.7
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",1748,8595233,20.3
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",2128,8575058,24.8
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",3203,8504839,37.7
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",3615,8417913,42.9
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",4001,8433938,47.4
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",3977,8462762,47.0
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",4002,8442466,47.4
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",4270,8442207,50.6
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",4130,8357487,49.4
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",4119,8233943,50.0
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",4248,8083904,52.5
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",4186,7893890,53.0
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",4349,7708888,56.4
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",4421,7628465,58.0
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",4651,7590009,61.3
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",5061,7661213,66.1
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",5471,8029061,68.1
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",5901,8261097,71.4
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",6720,8551112,78.6
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",7351,8699992,84.5
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",7969,8769075,90.9
,"35 years","35","Female","F","Not Hispanic or Latino","2186-2",8753,8787375,99.6
,"36 years","36","Female","F","Not Hispanic or Latino","2186-2",9646,8898918,108.4
,"37 years","37","Female","F","Not Hispanic or Latino","2186-2",10791,9145395,118.0
,"38 years","38","Female","F","Not Hispanic or Latino","2186-2",12190,9443401,129.1
,"39 years","39","Female","F","Not Hispanic or Latino","2186-2",13993,9738988,143.7
,"40 years","40","Female","F","Not Hispanic or Latino","2186-2",15548,10001689,155.5
,"41 years","41","Female","F","Not Hispanic or Latino","2186-2",16967,10181649,166.6
,"42 years","42","Female","F","Not Hispanic or Latino","2186-2",18807,10216276,184.1
,"43 years","43","Female","F","Not Hispanic or Latino","2186-2",20664,10273814,201.1
,"44 years","44","Female","F","Not Hispanic or Latino","2186-2",22171,10261835,216.1
,"45 years","45","Female","F","Not Hispanic or Latino","2186-2",23816,10158608,234.4
,"46 years","46","Female","F","Not Hispanic or Latino","2186-2",25484,10061765,253.3
,"47 years","47","Female","F","Not Hispanic or Latino","2186-2",26724,9955424,268.4
,"48 years","48","Female","F","Not Hispanic or Latino","2186-2",28210,9756294,289.1
,"49 years","49","Female","F","Not Hispanic or Latino","2186-2",29937,9537311,313.9
,"50 years","50","Female","F","Not Hispanic or Latino","2186-2",31150,9317323,334.3
,"51 years","51","Female","F","Not Hispanic or Latino","2186-2",32654,9131129,357.6
,"52 years","52","Female","F","Not Hispanic or Latino","2186-2",34238,8911896,384.2
,"53 years","53","Female","F","Not Hispanic or Latino","2186-2",36288,8768669,413.8
,"54 years","54","Female","F","Not Hispanic or Latino","2186-2",39202,8773487,446.8
,"55 years","55","Female","F","Not Hispanic or Latino","2186-2",40459,8308314,487.0
,"56 years","56","Female","F","Not Hispanic or Latino","2186-2",41906,7905838,530.1
,"57 years","57","Female","F","Not Hispanic or Latino","2186-2",44144,7508035,588.0
,"58 years","58","Female","F","Not Hispanic or Latino","2186-2",46286,7191192,643.6
,"59 years","59","Female","F","Not Hispanic or Latino","2186-2",47174,6611147,713.6
,"60 years","60","Female","F","Not Hispanic or Latino","2186-2",49683,6387384,777.8
,"61 years","61","Female","F","Not Hispanic or Latino","2186-2",52479,6192111,847.5
,"62 years","62","Female","F","Not Hispanic or Latino","2186-2",55236,5920731,932.9
,"63 years","63","Female","F","Not Hispanic or Latino","2186-2",56801,5585372,1017.0
