"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2",62155,7760832,800.9
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2",4045,7738500,52.3
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2",2629,7753618,33.9
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2",2018,7773671,26.0
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2",1554,7886728,19.7
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2",1379,7922555,17.4
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2",1207,7871249,15.3
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2",1131,7888059,14.3
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2",1168,7909834,14.8
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2",1125,7981428,14.1
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2",1149,8354872,13.8
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2",1349,8338381,16.2
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2",1427,8538247,16.7
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2",1953,8676317,22.5
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2",2513,8787832,28.6
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2",3678,9046706,40.7
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2",5479,9177904,59.7
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2",7329,9178163,79.9
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2",10157,9172399,110.7
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2",11414,9084359,125.6
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2",11763,8849591,132.9
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2",12822,8749080,146.6
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2",12808,8613439,148.7
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2",12793,8537452,149.8
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2",12736,8453541,150.7
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2",12575,8432507,149.1
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2",12343,8228348,150.0
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2",12299,8109200,151.7
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2",12074,7953368,151.8
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2",11970,7662285,156.2
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2",11909,7755005,153.6
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2",11919,7505089,158.8
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2",11979,7621763,157.2
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2",12521,7718961,162.2
