"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code",Deaths,Population,Crude Rate
,"< 1 year","0","Female","F","Not Hispanic or Latino","2186-2",2333,578361,403.4
,"1 year","1","Female","F","Not Hispanic or Latino","2186-2",155,579426,26.8
,"2 years","2","Female","F","Not Hispanic or Latino","2186-2",108,580410,18.6
,"3 years","3","Female","F","Not Hispanic or Latino","2186-2",78,577861,13.5
,"4 years","4","Female","F","Not Hispanic or Latino","2186-2",68,576552,11.8
,"5 years","5","Female","F","Not Hispanic or Latino","2186-2",51,578002,8.8
,"6 years","6","Female","F","Not Hispanic or Latino","2186-2",61,579865,10.5
,"7 years","7","Female","F","Not Hispanic or Latino","2186-2",45,585668,7.7
,"8 years","8","Female","F","Not Hispanic or Latino","2186-2",49,591177,8.3
,"9 years","9","Female","F","Not Hispanic or Latino","2186-2",44,593224,7.4
,"10 years","10","Female","F","Not Hispanic or Latino","2186-2",44,592265,7.4
,"11 years","11","Female","F","Not Hispanic or Latino","2186-2",49,596953,8.2
,"12 years","12","Female","F","Not Hispanic or Latino","2186-2",53,601689,8.8
,"13 years","13","Female","F","Not Hispanic or Latino","2186-2",67,604789,11.1
,"14 years","14","Female","F","Not Hispanic or Latino","2186-2",82,611411,13.4
,"15 years","15","Female","F","Not Hispanic or Latino","2186-2",87,623493,14.0
,"16 years","16","Female","F","Not Hispanic or Latino","2186-2",117,634315,18.4
,"17 years","17","Female","F","Not Hispanic or Latino","2186-2",133,647073,20.6
,"18 years","18","Female","F","Not Hispanic or Latino","2186-2",167,669067,25.0
,"19 years","19","Female","F","Not Hispanic or Latino","2186-2",255,639817,39.9
,"20 years","20","Female","F","Not Hispanic or Latino","2186-2",207,661339,31.3
,"21 years","21","Female","F","Not Hispanic or Latino","2186-2",254,702334,36.2
,"22 years","22","Female","F","Not Hispanic or Latino","2186-2",277,751150,36.9
,"23 years","23","Female","F","Not Hispanic or Latino","2186-2",296,802502,36.9
,"24 years","24","Female","F","Not Hispanic or Latino","2186-2",310,828646,37.4
,"25 years","25","Female","F","Not Hispanic or Latino","2186-2",361,844676,42.7
,"26 years","26","Female","F","Not Hispanic or Latino","2186-2",353,840725,42.0
,"27 years","27","Female","F","Not Hispanic or Latino","2186-2",374,832625,44.9
,"28 years","28","Female","F","Not Hispanic or Latino","2186-2",386,819014,47.1
,"29 years","29","Female","F","Not Hispanic or Latino","2186-2",381,815801,46.7
,"30 years","30","Female","F","Not Hispanic or Latino","2186-2",405,818558,49.5
,"31 years","31","Female","F","Not Hispanic or Latino","2186-2",419,815132,51.4
,"32 years","32","Female","F","Not Hispanic or Latino","2186-2",533,811069,65.7
,"33 years","33","Female","F","Not Hispanic or Latino","2186-2",527,798622,66.0
,"34 years","34","Female","F","Not Hispanic or Latino","2186-2",509,784175,64.9
