"Notes","Single-Year Ages","Single-Year Ages Code","Sex","Sex Code","Hispanic Origin","Hispanic Origin Code","Single Race 6","Single Race 6 Code",Deaths,Population,Crude Rate
,"< 1 year","0","Male","M","Not Hispanic or Latino","2186-2","Asian","A",402,134891,298.0
,"1 year","1","Male","M","Not Hispanic or Latino","2186-2","Asian","A",31,138741,22.3
,"2 years","2","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,147254,Unreliable
,"3 years","3","Male","M","Not Hispanic or Latino","2186-2","Asian","A",20,157745,12.7
,"4 years","4","Male","M","Not Hispanic or Latino","2186-2","Asian","A",14,161700,Unreliable
,"5 years","5","Male","M","Not Hispanic or Latino","2186-2","Asian","A",14,164837,Unreliable
,"6 years","6","Male","M","Not Hispanic or Latino","2186-2","Asian","A",11,161517,Unreliable
,"7 years","7","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,158917,Suppressed
,"8 years","8","Male","M","Not Hispanic or Latino","2186-2","Asian","A",13,155693,Unreliable
,"9 years","9","Male","M","Not Hispanic or Latino","2186-2","Asian","A",Suppressed,155145,Suppressed
,"10 years","10","Male","M","Not Hispanic or Latino","2186-2","Asian","A",11,153402,Unreliable
,"11 years","11","Male","M","Not Hispanic or Latino","2186-2","Asian","A",10,153553,Unreliable
,"12 years","12","Male","M","Not Hispanic or Latino","2186-2","Asian","A",15,154514,Unreliable
,"13 years","13","Male","M","Not Hispanic or Latino","2186-2","Asian","A",12,155915,Unreliable
,"14 years","14","Male","M","Not Hispanic or Latino","2186-2","Asian","A",12,157451,Unreliable
,"15 years","15","Male","M","Not Hispanic or Latino","2186-2","Asian","A",27,157108,17.2
,"16 years","16","Male","M","Not Hispanic or Latino","2186-2","Asian","A",23,156296,14.7
,"17 years","17","Male","M","Not Hispanic or Latino","2186-2","Asian","A",58,158890,36.5
,"18 years","18","Male","M","Not Hispanic or Latino","2186-2","Asian","A",54,166898,32.4
,"19 years","19","Male","M","Not Hispanic or Latino","2186-2","Asian","A",70,158838,44.1
,"20 years","20","Male","M","Not Hispanic or Latino","2186-2","Asian","A",81,156788,51.7
,"21 years","21","Male","M","Not Hispanic or Latino","2186-2","Asian","A",71,161947,43.8
,"22 years","22","Male","M","Not Hispanic or Latino","2186-2","Asian","A",108,168007,64.3
,"23 years","23","Male","M","Not Hispanic or Latino","2186-2","Asian","A",110,178071,61.8
,"24 years","24","Male","M","Not Hispanic or Latino","2186-2","Asian","A",90,191488,47.0
,"25 years","25","Male","M","Not Hispanic or Latino","2186-2","Asian","A",112,202883,55.2
,"26 years","26","Male","M","Not Hispanic or Latino","2186-2","Asian","A",102,214270,47.6
,"27 years","27","Male","M","Not Hispanic or Latino","2186-2","Asian","A",146,226727,64.4
,"28 years","28","Male","M","Not Hispanic or Latino","2186-2","Asian","A",157,237941,66.0
,"29 years","29","Male","M","Not Hispanic or Latino","2186-2","Asian","A",148,246435,60.1
,"30 years","30","Male","M","Not Hispanic or Latino","2186-2","Asian","A",167,250174,66.8
,"31 years","31","Male","M","Not Hispanic or Latino","2186-2","Asian","A",166,250871,66.2
,"32 years","32","Male","M","Not Hispanic or Latino","2186-2","Asian","A",160,247230,64.7
,"33 years","33","Male","M","Not Hispanic or Latino","2186-2","Asian","A",198,242364,81.7
,"34 years","34","Male","M","Not Hispanic or Latino","2186-2","Asian","A",165,237122,69.6
,"35 years","35","Male","M","Not Hispanic or Latino","2186-2","Asian","A",195,233852,83.4
,"36 years","36","Male","M","Not Hispanic or Latino","2186-2","Asian","A",226,230779,97.9
,"37 years","37","Male","M","Not Hispanic or Latino","2186-2","Asian","A",218,226081,96.4
,"38 years","38","Male","M","Not Hispanic or Latino","2186-2","Asian","A",226,222538,101.6
,"39 years","39","Male","M","Not Hispanic or Latino","2186-2","Asian","A",239,216599,110.3
,"40 years","40","Male","M","Not Hispanic or Latino","2186-2","Asian","A",245,210191,116.6
,"41 years","41","Male","M","Not Hispanic or Latino","2186-2","Asian","A",256,202982,126.1
,"42 years","42","Male","M","Not Hispanic or Latino","2186-2","Asian","A",278,200173,138.9
,"43 years","43","Male","M","Not Hispanic or Latino","2186-2","Asian","A",234,199327,117.4
,"44 years","44","Male","M","Not Hispanic or Latino","2186-2","Asian","A",296,199690,148.2
